neighborhood,year_sold,bedrooms,homes_sold
Gilbert,2006,3,28
Gilbert,2006,4,9
Gilbert,2007,2,1
Gilbert,2007,3,40
Gilbert,2007,4,3
Gilbert,2007,5,1
Gilbert,2008,2,1
Gilbert,2008,3,23
Gilbert,2008,4,2
Gilbert,2009,3,36
Gilbert,2009,4,5
Gilbert,2010,2,2
Gilbert,2010,3,11
Gilbert,2010,4,2
Greens,2006,1,4
Greens,2007,1,1
Greens,2009,1,1
Greens,2010,1,2
GrnHill,2006,2,1
GrnHill,2007,1,1
IDOTRR,2006,1,1
IDOTRR,2006,2,10
IDOTRR,2006,3,7
IDOTRR,2006,4,2
IDOTRR,2007,1,1
IDOTRR,2007,2,6
IDOTRR,2007,3,13
IDOTRR,2007,4,4
IDOTRR,2007,5,1
IDOTRR,2008,1,2
IDOTRR,2008,2,11
IDOTRR,2008,3,8
IDOTRR,2008,4,5
IDOTRR,2009,1,2
IDOTRR,2009,2,5
IDOTRR,2009,3,4
IDOTRR,2009,4,1
IDOTRR,2009,5,1
IDOTRR,2010,1,1
IDOTRR,2010,2,5
IDOTRR,2010,3,3
Landmrk,2006,3,1
MeadowV,2006,1,2
MeadowV,2006,3,6
MeadowV,2006,4,1
MeadowV,2006,5,1
MeadowV,2007,1,1
MeadowV,2007,2,1
MeadowV,2007,3,6
MeadowV,2008,1,2
MeadowV,2008,2,1
MeadowV,2008,3,3
MeadowV,2008,4,1
MeadowV,2009,1,2
MeadowV,2009,2,1
MeadowV,2009,3,2
MeadowV,2010,1,1
MeadowV,2010,2,1
MeadowV,2010,3,5
Mitchel,2006,2,6
Mitchel,2006,3,11
Mitchel,2006,4,5
Mitchel,2006,5,1
Mitchel,2007,0,1
Mitchel,2007,1,2
Mitchel,2007,2,9
Mitchel,2007,3,15
Mitchel,2007,4,1
Mitchel,2008,2,7
Mitchel,2008,3,12
Mitchel,2008,4,3
Mitchel,2009,1,3
Mitchel,2009,2,9
Mitchel,2009,3,10
Mitchel,2009,4,2
Mitchel,2010,2,2
Mitchel,2010,3,11
Mitchel,2010,4,2
Mitchel,2010,5,2
NAmes,2006,1,2
NAmes,2006,2,33
NAmes,2006,3,55
NAmes,2006,4,9
NAmes,2007,1,1
NAmes,2007,2,25
NAmes,2007,3,63
NAmes,2007,4,12
NAmes,2007,5,2
NAmes,2007,6,2
NAmes,2008,2,17
NAmes,2008,3,52
NAmes,2008,4,13
NAmes,2008,5,1
NAmes,2008,6,3
NAmes,2009,2,28
NAmes,2009,3,53
NAmes,2009,4,12
NAmes,2009,6,2
NAmes,2010,2,14
NAmes,2010,3,37
NAmes,2010,4,4
NAmes,2010,5,2
NAmes,2010,6,1
NPkVill,2006,2,2
NPkVill,2006,3,1
NPkVill,2007,2,2
NPkVill,2007,3,1
NPkVill,2008,2,2
NPkVill,2008,4,1
NPkVill,2009,2,3
NPkVill,2009,3,7
NPkVill,2010,2,2
NPkVill,2010,3,2
NWAmes,2006,2,3
NWAmes,2006,3,14
NWAmes,2006,4,7
NWAmes,2006,5,1
NWAmes,2007,2,3
NWAmes,2007,3,21
NWAmes,2007,4,6
NWAmes,2008,2,2
NWAmes,2008,3,13
NWAmes,2008,4,15
NWAmes,2009,2,2
NWAmes,2009,3,24
NWAmes,2009,4,8
NWAmes,2009,5,1
NWAmes,2010,3,8
NWAmes,2010,4,3
NoRidge,2006,2,1
NoRidge,2006,3,6
NoRidge,2006,4,9
NoRidge,2006,5,1
NoRidge,2007,2,1
NoRidge,2007,3,2
NoRidge,2007,4,14
NoRidge,2008,2,3
NoRidge,2008,3,3
NoRidge,2008,4,8
NoRidge,2009,3,8
NoRidge,2009,4,5
NoRidge,2010,3,3
NoRidge,2010,4,7
NridgHt,2006,1,1
NridgHt,2006,2,12
NridgHt,2006,3,9
NridgHt,2006,4,10
NridgHt,2007,1,2
NridgHt,2007,2,14
NridgHt,2007,3,21
NridgHt,2007,4,5
NridgHt,2007,5,1
NridgHt,2008,1,3
NridgHt,2008,2,15
NridgHt,2008,3,6
NridgHt,2008,4,7
NridgHt,2009,1,2
NridgHt,2009,2,14
NridgHt,2009,3,23
NridgHt,2009,4,5
NridgHt,2009,5,1
NridgHt,2010,2,5
NridgHt,2010,3,10
OldTown,2006,1,2
OldTown,2006,2,18
OldTown,2006,3,17
OldTown,2006,4,9
OldTown,2006,5,5
OldTown,2007,1,3
OldTown,2007,2,21
OldTown,2007,3,15
OldTown,2007,4,6
OldTown,2007,5,3
OldTown,2008,1,2
OldTown,2008,2,19
OldTown,2008,3,22
OldTown,2008,4,9
OldTown,2008,5,4
OldTown,2009,1,2
OldTown,2009,2,18
OldTown,2009,3,22
OldTown,2009,4,11
OldTown,2009,5,1
OldTown,2009,6,1
OldTown,2010,0,1
OldTown,2010,2,9
OldTown,2010,3,14
OldTown,2010,4,5
SWISU,2006,2,3
SWISU,2006,3,5
SWISU,2006,4,2
SWISU,2006,5,2
SWISU,2007,2,1
SWISU,2007,3,2
SWISU,2007,6,1
SWISU,2007,8,1
SWISU,2008,2,2
SWISU,2008,3,1
SWISU,2008,4,6
SWISU,2008,6,1
SWISU,2009,1,1
SWISU,2009,3,7
SWISU,2009,4,1
SWISU,2009,5,1
SWISU,2010,2,3
SWISU,2010,3,4
SWISU,2010,4,3
SWISU,2010,6,1
Sawyer,2006,0,1
Sawyer,2006,2,6
Sawyer,2006,3,25
Sawyer,2006,4,3
Sawyer,2006,6,3
Sawyer,2007,2,8
Sawyer,2007,3,27
Sawyer,2007,4,2
Sawyer,2008,0,1
Sawyer,2008,1,1
Sawyer,2008,2,4
Sawyer,2008,3,22
Sawyer,2008,4,2
Sawyer,2009,2,5
Sawyer,2009,3,17
Sawyer,2009,4,1
Sawyer,2010,2,4
Sawyer,2010,3,14
Sawyer,2010,4,5
SawyerW,2006,2,4
SawyerW,2006,3,15
SawyerW,2006,4,1
SawyerW,2007,2,3
SawyerW,2007,3,13
SawyerW,2007,4,5
SawyerW,2008,2,2
SawyerW,2008,3,20
SawyerW,2008,4,3
SawyerW,2009,1,2
SawyerW,2009,2,10
SawyerW,2009,3,17
SawyerW,2009,4,7
SawyerW,2009,6,5
SawyerW,2010,1,1
SawyerW,2010,2,5
SawyerW,2010,3,10
SawyerW,2010,4,1
SawyerW,2010,5,1
Somerst,2006,1,3
Somerst,2006,2,10
Somerst,2006,3,16
Somerst,2007,1,2
Somerst,2007,2,14
Somerst,2007,3,32
Somerst,2007,4,3
Somerst,2008,1,2
Somerst,2008,2,13
Somerst,2008,3,25
Somerst,2008,4,1
Somerst,2009,1,1
Somerst,2009,2,10
Somerst,2009,3,28
Somerst,2009,4,1
Somerst,2010,1,1
Somerst,2010,2,12
Somerst,2010,3,8
StoneBr,2006,2,4
StoneBr,2006,3,4
StoneBr,2006,4,6
StoneBr,2006,5,1
StoneBr,2007,1,2
StoneBr,2007,2,5
StoneBr,2007,3,3
StoneBr,2007,4,2
StoneBr,2008,0,1
StoneBr,2008,1,1
StoneBr,2008,2,6
StoneBr,2008,4,1
StoneBr,2008,5,1
StoneBr,2009,1,3
StoneBr,2009,2,3
StoneBr,2009,3,2
StoneBr,2010,1,2
StoneBr,2010,2,3
StoneBr,2010,4,1
Timber,2006,2,6
Timber,2006,3,3
Timber,2006,4,2
Timber,2007,2,6
Timber,2007,3,12
Timber,2007,4,2
Timber,2007,5,1
Timber,2008,2,2
Timber,2008,3,15
Timber,2008,4,1
Timber,2009,2,4
Timber,2009,3,10
Timber,2010,2,1
Timber,2010,3,4
Timber,2010,4,3
Veenker,2006,0,1
Veenker,2006,2,1
Veenker,2006,3,2
Veenker,2007,1,1
Veenker,2007,2,2
Veenker,2007,3,6
Veenker,2008,1,3
Veenker,2008,3,4
Veenker,2009,2,3
Veenker,2009,4,1
